trace_id,timestamp,service,level,message,anomaly_type
trace-921441,2025-03-25T21:07:02.071148,ts-ticket-service,INFO,ts-ticket-service normal operation,normal
trace-921441,2025-03-25T21:07:02.071148,ts-ticket-service,INFO,ts-ticket-service normal operation,normal
trace-648455,2025-03-26T13:30:25.071148,ts-config-service,INFO,ts-config-service normal operation,normal
trace-648455,2025-03-26T13:30:25.071148,ts-config-service,INFO,ts-config-service normal operation,normal
trace-709978,2025-03-25T21:56:55.071148,ts-auth-service,INFO,ts-auth-service normal operation,normal
trace-709978,2025-03-25T21:56:55.071148,ts-auth-service,INFO,ts-auth-service normal operation,normal
trace-709978,2025-03-25T21:56:55.071148,ts-auth-service,INFO,ts-auth-service normal operation,normal
trace-526370,2025-03-26T18:06:46.071148,ts-auth-service,INFO,ts-auth-service normal operation,normal
trace-749722,2025-03-26T04:19:19.071148,ts-station-service,INFO,ts-station-service normal operation,normal
trace-749722,2025-03-26T04:19:19.071148,ts-station-service,INFO,ts-station-service normal operation,normal
trace-749722,2025-03-26T04:19:19.071148,ts-station-service,INFO,ts-station-service normal operation,normal
trace-367673,2025-03-26T02:17:34.071148,ts-config-service,INFO,ts-config-service normal operation,normal
trace-367673,2025-03-26T02:17:34.071148,ts-config-service,INFO,ts-config-service normal operation,normal
trace-367673,2025-03-26T02:17:34.071148,ts-config-service,INFO,ts-config-service normal operation,normal
trace-985419,2025-03-25T22:21:08.071148,ts-ticket-service,INFO,ts-ticket-service normal operation,normal
trace-985419,2025-03-25T22:21:08.071148,ts-ticket-service,INFO,ts-ticket-service normal operation,normal
trace-985419,2025-03-25T22:21:08.071148,ts-ticket-service,INFO,ts-ticket-service normal operation,normal
trace-216590,2025-03-26T18:04:25.071148,ts-user-service,INFO,ts-user-service normal operation,normal
trace-949009,2025-03-26T16:43:42.071148,ts-payment-service,INFO,ts-payment-service normal operation,normal
trace-949009,2025-03-26T16:43:42.071148,ts-payment-service,INFO,ts-payment-service normal operation,normal
trace-543389,2025-03-26T00:51:18.071148,ts-ticket-service,WARN,ts-ticket-service dependency service unavailable,cascade_failure
trace-392838,2025-03-26T14:31:50.071148,ts-order-service,INFO,ts-order-service normal operation,normal
trace-392838,2025-03-26T14:31:50.071148,ts-order-service,INFO,ts-order-service normal operation,normal
trace-392838,2025-03-26T14:31:50.071148,ts-order-service,INFO,ts-order-service normal operation,normal
trace-713532,2025-03-26T00:49:41.071148,ts-ticket-service,ERROR,ts-ticket-service database connection pool exhausted,resource_exhaustion
trace-713532,2025-03-26T00:49:41.071148,ts-ticket-service,ERROR,ts-ticket-service database connection pool exhausted,resource_exhaustion
trace-831059,2025-03-25T22:03:04.071148,ts-station-service,INFO,ts-station-service normal operation,normal
trace-884023,2025-03-25T21:14:33.071148,ts-order-service,WARN,ts-order-service internal server error,high_error_rate
trace-884023,2025-03-25T21:14:33.071148,ts-order-service,WARN,ts-order-service internal server error,high_error_rate
trace-884023,2025-03-25T21:14:33.071148,ts-order-service,WARN,ts-order-service internal server error,high_error_rate
trace-526749,2025-03-26T10:02:10.071148,ts-station-service,INFO,ts-station-service normal operation,normal
trace-544587,2025-03-26T08:19:24.071148,ts-config-service,INFO,ts-config-service normal operation,normal
trace-444179,2025-03-26T13:08:43.071148,ts-order-service,INFO,ts-order-service normal operation,normal
trace-444179,2025-03-26T13:08:43.071148,ts-order-service,INFO,ts-order-service normal operation,normal
